n,seconds
236,0.0010570000
237,0.0010587000
238,0.0010655000
239,0.0011014000
240,0.0010820000
241,0.0010906000
242,0.0010984000
243,0.0011224000
244,0.0011337000
245,0.0011417000
246,0.0011445000
247,0.0011560000
248,0.0011513000
249,0.0011723000
250,0.0011726000
251,0.0011844000
252,0.0011901000
253,0.0011953000
254,0.0012220000
255,0.0012071000
256,0.0012165000
257,0.0012257000
258,0.0012303000
259,0.0012415000
260,0.0012662000
261,0.0012685000
262,0.0012791000
263,0.0012922000
264,0.0013064000
265,0.0013173000
266,0.0013177000
267,0.0013317000
268,0.0013376000
269,0.0013609000
270,0.0013604000
271,0.0013612000
272,0.0013788000
273,0.0013863000
274,0.0014199000
275,0.0014180000
276,0.0014301000
277,0.0014249000
278,0.0014514000
279,0.0014523000
280,0.0014525000
281,0.0014714000
282,0.0014766000
283,0.0014957000
284,0.0015015000
285,0.0014970000
286,0.0015032000
287,0.0015328000
288,0.0015294000
289,0.0015383000
290,0.0015386000
291,0.0015740000
292,0.0016314000
293,0.0017073000
294,0.0017017000
295,0.0017238000
296,0.0017329000
297,0.0016966000
298,0.0017047000
299,0.0017154000
300,0.0017929000
301,0.0017810000
302,0.0017689000
303,0.0018218000
304,0.0018434000
305,0.0017229000
306,0.0017332000
307,0.0017401000
308,0.0017583000
309,0.0017506000
310,0.0017899000
311,0.0017844000
312,0.0018011000
313,0.0018181000
314,0.0018206000
315,0.0018466000
316,0.0018446000
317,0.0018629000
318,0.0018669000
319,0.0018672000
320,0.0018980000
321,0.0019139000
322,0.0019300000
323,0.0019226000
324,0.0019483000
325,0.0019338000
326,0.0019707000
327,0.0019710000
328,0.0019679000
329,0.0020261000
330,0.0020011000
331,0.0020089000
332,0.0020359000
333,0.0020455000
334,0.0020581000
335,0.0020693000
336,0.0020870000
337,0.0020966000
338,0.0020938000
339,0.0021190000
340,0.0021189000
341,0.0021268000
342,0.0021656000
343,0.0021815000
344,0.0021763000
345,0.0021822000
346,0.0021993000
347,0.0022213000
348,0.0022507000
349,0.0022562000
350,0.0022578000
351,0.0022742000
352,0.0022747000
353,0.0022783000
354,0.0023035000
355,0.0023111000
356,0.0023276000
357,0.0023183000
358,0.0023409000
359,0.0023527000
360,0.0023738000
361,0.0023888000
362,0.0024157000
363,0.0024026000
364,0.0024176000
365,0.0024353000
366,0.0025085000
367,0.0024432000
368,0.0024575000
369,0.0024851000
370,0.0025046000
371,0.0025197000
372,0.0025520000
373,0.0025412000
374,0.0025578000
375,0.0025670000
376,0.0025880000
377,0.0030083000
378,0.0032132000
379,0.0026098000
380,0.0026298000
381,0.0026241000
382,0.0026585000
383,0.0026638000
384,0.0026853000
385,0.0026838000
386,0.0027051000
387,0.0027570000
388,0.0027558000
389,0.0027635000
390,0.0028004000
391,0.0028003000
392,0.0028399000
393,0.0029174000
394,0.0028531000
395,0.0028545000
396,0.0029263000
397,0.0029199000
398,0.0031802000
399,0.0030314000
400,0.0031730000
401,0.0031486000
402,0.0031476000
403,0.0031072000
404,0.0032020000
405,0.0030988000
406,0.0031432000
407,0.0032551000
408,0.0032430000
409,0.0031585000
410,0.0032537000
411,0.0034191000
412,0.0032945000
413,0.0031272000
414,0.0031544000
415,0.0031451000
416,0.0031635000
417,0.0031718000
418,0.0031936000
419,0.0031965000
420,0.0032362000
421,0.0032158000
422,0.0032406000
423,0.0032518000
424,0.0032997000
425,0.0033309000
426,0.0033040000
427,0.0033383000
428,0.0034577000
429,0.0034889000
430,0.0034884000
431,0.0034046000
432,0.0034034000
433,0.0034206000
434,0.0034240000
435,0.0034418000
436,0.0034617000
437,0.0034582000
438,0.0034763000
439,0.0035204000
440,0.0035139000
441,0.0035432000
442,0.0035583000
443,0.0035837000
444,0.0035680000
445,0.0035858000
446,0.0035955000
447,0.0036193000
448,0.0036289000
449,0.0036649000
450,0.0036458000
451,0.0036822000
452,0.0037753000
453,0.0037730000
454,0.0038083000
455,0.0038127000
456,0.0038450000
457,0.0037999000
458,0.0038224000
459,0.0038096000
460,0.0044283000
461,0.0042815000
462,0.0039709000
463,0.0038918000
464,0.0038852000
465,0.0039150000
466,0.0039467000
467,0.0040203000
468,0.0039367000
469,0.0039828000
470,0.0039840000
471,0.0040372000
472,0.0040558000
473,0.0040679000
474,0.0040464000
475,0.0040802000
476,0.0040948000
477,0.0041073000
478,0.0044210000
479,0.0043391000
480,0.0043536000
481,0.0042789000
482,0.0043848000
483,0.0043924000
484,0.0044933000
485,0.0045381000
486,0.0043673000
487,0.0044752000
488,0.0046156000
489,0.0046443000
490,0.0044783000
491,0.0049815000
492,0.0053468000
493,0.0055317000
494,0.0045527000
495,0.0044715000
496,0.0045165000
497,0.0045185000
498,0.0045217000
499,0.0045354000
500,0.0047955000
501,0.0045139000
502,0.0045384000
503,0.0046230000
504,0.0045901000
505,0.0045856000
506,0.0048579000
507,0.0046296000
508,0.0046279000
509,0.0046695000
510,0.0046793000
511,0.0046964000
512,0.0048455000
513,0.0047456000
514,0.0048148000
515,0.0048660000
516,0.0048052000
517,0.0047863000
518,0.0048520000
519,0.0048273000
520,0.0048472000
521,0.0048660000
522,0.0048752000
523,0.0048557000
524,0.0051717000
525,0.0052001000
526,0.0050999000
527,0.0052641000
528,0.0051606000
529,0.0056789000
530,0.0054570000
531,0.0053428000
532,0.0054810000
533,0.0054769000
534,0.0053958000
535,0.0055653000
536,0.0055734000
537,0.0053917000
538,0.0051951000
539,0.0052094000
540,0.0052568000
541,0.0052809000
542,0.0053165000
543,0.0053576000
544,0.0053098000
545,0.0053597000
546,0.0053798000
547,0.0053479000
548,0.0054380000
549,0.0053932000
550,0.0054411000
551,0.0054594000
552,0.0054859000
553,0.0057041000
554,0.0057618000
555,0.0057946000
556,0.0059052000
557,0.0055852000
558,0.0058581000
559,0.0058208000
560,0.0059449000
561,0.0059200000
562,0.0058999000
563,0.0057535000
564,0.0057055000
565,0.0057880000
566,0.0057755000
567,0.0058017000
568,0.0059049000
569,0.0058484000
570,0.0058281000
571,0.0058624000
572,0.0059041000
573,0.0059114000
574,0.0059198000
575,0.0059136000
576,0.0059744000
577,0.0059942000
578,0.0060258000
579,0.0060490000
580,0.0060447000
581,0.0060976000
582,0.0061137000
583,0.0060868000
584,0.0061690000
585,0.0061466000
586,0.0061899000
587,0.0062056000
588,0.0062268000
589,0.0062442000
590,0.0062546000
591,0.0063114000
592,0.0063077000
593,0.0063404000
594,0.0063315000
595,0.0063959000
596,0.0063968000
597,0.0064477000
598,0.0064705000
599,0.0064786000
600,0.0065136000
601,0.0065156000
602,0.0065730000
603,0.0065742000
604,0.0066107000
605,0.0065797000
606,0.0066763000
607,0.0069838000
608,0.0069008000
609,0.0070185000
610,0.0070089000
611,0.0071137000
612,0.0070959000
613,0.0070673000
614,0.0082486000
615,0.0069645000
616,0.0067820000
617,0.0068860000
618,0.0068876000
619,0.0069326000
620,0.0069509000
621,0.0069650000
622,0.0069656000
623,0.0070170000
624,0.0070273000
625,0.0070755000
626,0.0070563000
627,0.0082240000
628,0.0071391000
629,0.0071956000
630,0.0071367000
631,0.0072503000
632,0.0072216000
633,0.0072646000
634,0.0072394000
635,0.0072978000
636,0.0073132000
637,0.0084656000
638,0.0073021000
639,0.0074026000
640,0.0074149000
641,0.0086816000
642,0.0081021000
643,0.0075541000
644,0.0077371000
645,0.0102571000
646,0.0096410000
647,0.0078327000
648,0.0076965000
649,0.0078129000
650,0.0081352000
651,0.0077565000
652,0.0077368000
653,0.0078177000
654,0.0078520000
655,0.0078786000
656,0.0079470000
657,0.0082994000
658,0.0084127000
659,0.0095998000
660,0.0082251000
661,0.0080828000
662,0.0091919000
663,0.0081020000
664,0.0085324000
665,0.0086100000
666,0.0086080000
667,0.0087660000
668,0.0081354000
669,0.0080718000
670,0.0081198000
671,0.0082201000
672,0.0081891000
673,0.0093362000
674,0.0096026000
675,0.0085636000
676,0.0083645000
677,0.0083328000
678,0.0083260000
679,0.0091837000
680,0.0110920000
681,0.0093350000
682,0.0093183000
683,0.0088549000
684,0.0088497000
685,0.0084932000
686,0.0087850000
687,0.0088281000
688,0.0085130000
689,0.0085665000
690,0.0085967000
691,0.0086480000
692,0.0086546000
693,0.0086918000
694,0.0086941000
695,0.0087143000
696,0.0088545000
697,0.0087776000
698,0.0088146000
699,0.0088857000
700,0.0088388000
701,0.0088658000
702,0.0089119000
703,0.0088883000
704,0.0089685000
705,0.0089768000
706,0.0093565000
707,0.0096489000
708,0.0093797000
709,0.0102539000
710,0.0091680000
711,0.0091227000
712,0.0091612000
713,0.0091654000
714,0.0091632000
715,0.0092269000
716,0.0092106000
717,0.0095094000
718,0.0093774000
719,0.0093203000
720,0.0095104000
721,0.0093536000
722,0.0094161000
723,0.0094531000
724,0.0094690000
725,0.0095009000
726,0.0095320000
727,0.0095456000
728,0.0096002000
729,0.0095800000
730,0.0096549000
731,0.0096717000
732,0.0096504000
733,0.0097190000
734,0.0099301000
735,0.0101972000
736,0.0106225000
737,0.0102575000
738,0.0100058000
739,0.0099602000
740,0.0099943000
741,0.0099941000
742,0.0100241000
743,0.0100115000
744,0.0100506000
745,0.0100431000
746,0.0101024000
747,0.0102677000
748,0.0101259000
749,0.0101817000
750,0.0101357000
751,0.0104550000
752,0.0103536000
753,0.0102200000
754,0.0104188000
755,0.0105272000
756,0.0104742000
757,0.0103141000
758,0.0108202000
759,0.0107004000
760,0.0106401000
761,0.0107910000
762,0.0107034000
763,0.0107682000
764,0.0106266000
765,0.0105348000
766,0.0108112000
767,0.0106676000
768,0.0106354000
769,0.0118971000
770,0.0108992000
771,0.0107388000
772,0.0111335000
773,0.0113109000
774,0.0114200000
775,0.0113969000
776,0.0109278000
777,0.0109415000
778,0.0110266000
779,0.0111525000
780,0.0110371000
781,0.0110551000
782,0.0113086000
783,0.0113831000
784,0.0111618000
785,0.0112431000
786,0.0115402000
787,0.0116434000
788,0.0116166000
789,0.0114555000
790,0.0112500000
791,0.0114324000
792,0.0114688000
793,0.0113313000
794,0.0114206000
795,0.0114118000
796,0.0113880000
797,0.0114308000
798,0.0114814000
799,0.0115484000
800,0.0115889000
801,0.0115649000
802,0.0116713000
803,0.0116687000
804,0.0118445000
805,0.0117971000
806,0.0120369000
807,0.0122512000
808,0.0117860000
809,0.0121389000
810,0.0126222000
811,0.0125601000
812,0.0127005000
813,0.0128160000
814,0.0133999000
815,0.0130557000
816,0.0145403000
817,0.0124521000
818,0.0122494000
819,0.0128992000
820,0.0129841000
821,0.0124591000
822,0.0123009000
823,0.0126271000
824,0.0122435000
825,0.0124746000
826,0.0125054000
827,0.0125852000
828,0.0124849000
829,0.0123660000
830,0.0124290000
831,0.0122988000
832,0.0124224000
833,0.0124734000
834,0.0136975000
835,0.0127957000
836,0.0128230000
837,0.0127679000
838,0.0129101000
839,0.0129532000
840,0.0132124000
841,0.0134658000
842,0.0133513000
843,0.0131405000
844,0.0128261000
845,0.0130898000
846,0.0130885000
847,0.0128504000
848,0.0129321000
849,0.0130151000
850,0.0129599000
851,0.0131965000
852,0.0132074000
853,0.0131351000
854,0.0130454000
855,0.0131779000
856,0.0132241000
857,0.0134506000
858,0.0138586000
859,0.0138691000
860,0.0132593000
861,0.0133079000
862,0.0136076000
863,0.0134211000
864,0.0140597000
865,0.0142549000
866,0.0143280000
867,0.0136612000
868,0.0137416000
869,0.0135831000
870,0.0139709000
871,0.0136637000
872,0.0137635000
873,0.0137728000
874,0.0139068000
875,0.0138739000
876,0.0139504000
877,0.0140162000
878,0.0139425000
879,0.0141459000
880,0.0140685000
881,0.0138957000
882,0.0139641000
883,0.0140729000
884,0.0141333000
885,0.0140731000
886,0.0140750000
887,0.0140883000
888,0.0141034000
889,0.0142776000
890,0.0155250000
891,0.0143255000
892,0.0143185000
893,0.0144454000
894,0.0145564000
895,0.0145519000
896,0.0145531000
897,0.0144513000
898,0.0147357000
899,0.0147983000
900,0.0144571000
901,0.0145706000
902,0.0148072000
903,0.0147337000
904,0.0148438000
905,0.0147767000
906,0.0150471000
907,0.0150468000
908,0.0147596000
909,0.0148072000
910,0.0150314000
911,0.0147729000
912,0.0151408000
913,0.0148883000
914,0.0148798000
915,0.0149563000
916,0.0150369000
917,0.0151998000
918,0.0151044000
919,0.0151544000
920,0.0154140000
921,0.0173824000
922,0.0178474000
923,0.0154369000
924,0.0156520000
925,0.0155325000
926,0.0157058000
927,0.0156528000
928,0.0155666000
929,0.0156921000
930,0.0158677000
931,0.0162550000
932,0.0158567000
933,0.0159225000
934,0.0159950000
935,0.0159313000
936,0.0160097000
937,0.0159795000
938,0.0161433000
939,0.0182880000
940,0.0230920000
941,0.0200837000
942,0.0194253000
943,0.0164008000
944,0.0162157000
945,0.0162447000
946,0.0162060000
947,0.0164217000
948,0.0163246000
949,0.0163308000
950,0.0162586000
951,0.0163897000
952,0.0162805000
953,0.0164368000
954,0.0165779000
955,0.0167864000
956,0.0176409000
957,0.0165784000
958,0.0165586000
959,0.0165714000
960,0.0168778000
961,0.0167355000
962,0.0169505000
963,0.0169363000
964,0.0179788000
965,0.0170095000
966,0.0173507000
967,0.0169864000
968,0.0169644000
969,0.0171264000
970,0.0173687000
971,0.0171248000
972,0.0173568000
973,0.0171620000
974,0.0172753000
975,0.0172162000
976,0.0173498000
977,0.0171849000
978,0.0173656000
979,0.0174297000
980,0.0174731000
981,0.0173026000
982,0.0174012000
983,0.0174838000
984,0.0176560000
985,0.0175272000
986,0.0175158000
987,0.0176205000
988,0.0175743000
989,0.0179212000
990,0.0177154000
991,0.0179616000
992,0.0177397000
993,0.0177519000
994,0.0177726000
995,0.0178113000
996,0.0179986000
997,0.0182704000
998,0.0180890000
999,0.0180966000
1000,0.0180127000
1001,0.0180726000
1002,0.0182438000
1003,0.0183109000
1004,0.0180829000
1005,0.0183553000
1006,0.0180913000
1007,0.0184359000
1008,0.0183357000
1009,0.0184047000
1010,0.0183683000
1011,0.0186467000
1012,0.0183130000
1013,0.0184091000
1014,0.0184845000
1015,0.0188314000
1016,0.0190023000
1017,0.0186423000
1018,0.0185376000
1019,0.0186013000
1020,0.0185623000
1021,0.0186348000
1022,0.0186746000
1023,0.0186827000
1024,0.0187597000
1025,0.0187547000
1026,0.0189332000
1027,0.0190378000
1028,0.0188858000
1029,0.0207660000
1030,0.0215390000
1031,0.0205028000
1032,0.0209185000
1033,0.0199546000
1034,0.0194983000
1035,0.0195531000
1036,0.0194767000
1037,0.0194855000
1038,0.0195923000
1039,0.0198304000
1040,0.0209375000
1041,0.0207421000
1042,0.0201590000
1043,0.0198623000
1044,0.0197156000
1045,0.0196988000
1046,0.0196069000
1047,0.0206610000
1048,0.0199984000
1049,0.0208479000
1050,0.0197731000
1051,0.0196564000
1052,0.0199934000
1053,0.0210718000
1054,0.0198625000
1055,0.0199647000
1056,0.0202546000
1057,0.0209787000
1058,0.0202038000
1059,0.0201227000
1060,0.0202289000
1061,0.0201241000
1062,0.0201566000
1063,0.0201785000
1064,0.0202901000
1065,0.0203193000
1066,0.0206733000
1067,0.0276271000
1068,0.0238036000
1069,0.0257514000
1070,0.0209665000
1071,0.0212791000
1072,0.0214197000
1073,0.0222477000
1074,0.0213533000
1075,0.0212887000
1076,0.0214788000
1077,0.0214678000
1078,0.0218427000
1079,0.0214868000
1080,0.0232107000
1081,0.0250880000
1082,0.0220345000
1083,0.0219610000
1084,0.0223304000
1085,0.0222532000
1086,0.0222017000
1087,0.0228795000
1088,0.0253398000
1089,0.0242130000
1090,0.0222072000
1091,0.0234591000
1092,0.0222196000
1093,0.0238043000
1094,0.0243372000
1095,0.0270716000
1096,0.0242926000
1097,0.0324454000
1098,0.0324498000
1099,0.0305653000
1100,0.0309719000
1101,0.0338346000
1102,0.0285441000
1103,0.0223014000
1104,0.0222919000
1105,0.0237707000
1106,0.0238494000
1107,0.0237769000
1108,0.0226841000
1109,0.0224105000
1110,0.0227580000
1111,0.0252409000
1112,0.0245939000
1113,0.0229127000
1114,0.0244872000
1115,0.0249808000
1116,0.0274281000
1117,0.0262930000
1118,0.0287815000
1119,0.0230762000
1120,0.0231146000
1121,0.0232538000
1122,0.0239406000
1123,0.0234245000
1124,0.0235005000
1125,0.0234479000
1126,0.0237043000
1127,0.0238096000
1128,0.0238532000
1129,0.0249074000
1130,0.0253229000
1131,0.0240529000
1132,0.0242566000
1133,0.0241975000
1134,0.0253811000
1135,0.0254444000
1136,0.0260581000
1137,0.0238177000
1138,0.0264207000
1139,0.0260059000
1140,0.0251132000
1141,0.0242535000
1142,0.0245737000
1143,0.0250966000
1144,0.0255850000
1145,0.0256743000
1146,0.0254642000
1147,0.0263317000
1148,0.0254769000
1149,0.0256133000
1150,0.0258396000
1151,0.0258059000
1152,0.0248208000
1153,0.0248543000
1154,0.0263636000
1155,0.0258775000
1156,0.0261500000
1157,0.0257087000
1158,0.0248973000
1159,0.0244163000
1160,0.0245653000
1161,0.0244956000
1162,0.0247146000
1163,0.0246058000
1164,0.0244805000
1165,0.0248481000
1166,0.0248195000
1167,0.0246414000
1168,0.0246046000
1169,0.0259335000
1170,0.0263056000
1171,0.0248206000
1172,0.0247901000
1173,0.0250184000
1174,0.0250531000
1175,0.0248564000
1176,0.0266661000
1177,0.0254093000
1178,0.0250141000
1179,0.0251719000
1180,0.0250649000
1181,0.0261619000
1182,0.0252374000
1183,0.0253645000
1184,0.0252994000
1185,0.0252165000
1186,0.0253408000
1187,0.0254116000
1188,0.0263104000
1189,0.0274671000
1190,0.0270352000
1191,0.0256688000
1192,0.0256256000
1193,0.0257111000
1194,0.0257151000
1195,0.0262511000
1196,0.0276804000
1197,0.0265532000
1198,0.0257373000
1199,0.0257173000
1200,0.0263632000
1201,0.0268145000
1202,0.0273306000
1203,0.0261201000
1204,0.0261699000
1205,0.0261953000
1206,0.0272882000
1207,0.0278583000
1208,0.0275464000
1209,0.0265107000
1210,0.0279688000
1211,0.0283998000
1212,0.0265669000
1213,0.0264668000
1214,0.0267842000
1215,0.0277240000
1216,0.0266654000
1217,0.0266571000
1218,0.0268160000
1219,0.0280068000
1220,0.0283239000
1221,0.0287969000
1222,0.0294564000
1223,0.0300424000
1224,0.0286611000
1225,0.0289729000
1226,0.0272435000
1227,0.0278595000
1228,0.0275772000
1229,0.0275604000
1230,0.0285492000
1231,0.0275400000
1232,0.0274090000
1233,0.0274088000
1234,0.0274139000
1235,0.0292715000
1236,0.0297788000
1237,0.0298268000
1238,0.0297943000
1239,0.0297375000
1240,0.0304965000
1241,0.0300501000
1242,0.0318280000
1243,0.0304041000
1244,0.0302300000
1245,0.0287503000
1246,0.0288770000
1247,0.0281059000
1248,0.0280892000
1249,0.0282394000
1250,0.0294499000
1251,0.0281193000
1252,0.0284070000
1253,0.0305661000
1254,0.0304790000
1255,0.0307636000
1256,0.0301585000
1257,0.0295332000
1258,0.0310769000
1259,0.0299011000
1260,0.0305894000
1261,0.0308366000
1262,0.0303938000
1263,0.0310071000
1264,0.0292779000
1265,0.0308439000
1266,0.0307336000
1267,0.0307526000
1268,0.0297992000
1269,0.0289309000
1270,0.0294150000
1271,0.0302169000
1272,0.0314702000
1273,0.0316459000
1274,0.0314951000
1275,0.0307292000
1276,0.0317277000
1277,0.0304882000
1278,0.0298815000
1279,0.0296079000
1280,0.0297187000
1281,0.0318893000
1282,0.0326092000
1283,0.0316639000
1284,0.0316224000
1285,0.0318034000
1286,0.0317061000
1287,0.0318351000
1288,0.0325482000
1289,0.0324353000
1290,0.0317888000
1291,0.0301517000
1292,0.0299374000
1293,0.0300110000
1294,0.0302119000
1295,0.0320025000
1296,0.0322631000
1297,0.0325995000
1298,0.0326960000
1299,0.0324748000
1300,0.0321732000
1301,0.0324069000
1302,0.0323800000
1303,0.0325608000
1304,0.0324049000
1305,0.0329029000
1306,0.0324816000
1307,0.0304489000
1308,0.0308266000
1309,0.0318593000
1310,0.0307567000
1311,0.0308288000
1312,0.0323959000
1313,0.0335140000
1314,0.0333443000
1315,0.0330471000
1316,0.0333230000
1317,0.0334863000
1318,0.0331854000
1319,0.0336296000
1320,0.0338324000
1321,0.0334928000
1322,0.0336235000
1323,0.0335716000
1324,0.0337834000
1325,0.0336993000
1326,0.0340028000
1327,0.0337421000
1328,0.0336429000
1329,0.0341692000
1330,0.0338716000
1331,0.0342339000
1332,0.0339708000
1333,0.0318263000
1334,0.0320133000
1335,0.0321907000
1336,0.0320495000
1337,0.0320553000
1338,0.0319104000
1339,0.0320682000
1340,0.0321518000
1341,0.0324056000
1342,0.0324674000
1343,0.0325982000
1344,0.0324897000
1345,0.0326844000
1346,0.0325300000
1347,0.0326869000
1348,0.0326707000
1349,0.0326529000
1350,0.0327147000
1351,0.0329440000
1352,0.0326247000
1353,0.0327154000
1354,0.0328084000
1355,0.0329321000
1356,0.0340953000
1357,0.0336534000
1358,0.0362364000
1359,0.0347283000
1360,0.0333481000
1361,0.0332405000
1362,0.0353692000
1363,0.0356093000
1364,0.0356318000
1365,0.0356318000
1366,0.0355218000
1367,0.0332775000
1368,0.0335150000
1369,0.0334848000
1370,0.0335626000
1371,0.0337542000
1372,0.0336962000
1373,0.0341112000
1374,0.0338387000
1375,0.0350908000
1376,0.0349859000
1377,0.0339420000
1378,0.0341361000
1379,0.0341780000
1380,0.0342473000
1381,0.0342816000
1382,0.0342754000
1383,0.0343159000
1384,0.0343386000
1385,0.0343458000
1386,0.0344409000
1387,0.0362439000
1388,0.0367004000
1389,0.0358160000
1390,0.0345226000
1391,0.0347142000
1392,0.0346474000
1393,0.0345960000
1394,0.0346312000
1395,0.0348385000
1396,0.0348320000
1397,0.0371471000
1398,0.0349156000
1399,0.0350232000
1400,0.0350692000
1401,0.0347789000
1402,0.0369539000
1403,0.0370047000
1404,0.0350429000
1405,0.0354331000
1406,0.0354354000
1407,0.0351368000
1408,0.0351747000
1409,0.0352880000
1410,0.0353311000
1411,0.0353186000
1412,0.0354604000
1413,0.0355877000
1414,0.0356149000
1415,0.0356301000
1416,0.0358567000
1417,0.0357637000
1418,0.0361355000
1419,0.0357175000
1420,0.0358770000
1421,0.0359066000
1422,0.0375857000
1423,0.0360573000
1424,0.0360476000
1425,0.0360988000
1426,0.0361449000
1427,0.0363665000
1428,0.0385779000
1429,0.0375118000
1430,0.0363326000
1431,0.0365204000
1432,0.0364825000
1433,0.0365215000
1434,0.0376841000
1435,0.0366205000
1436,0.0370043000
1437,0.0366987000
1438,0.0368778000
1439,0.0368884000
1440,0.0379961000
1441,0.0399745000
1442,0.0406466000
1443,0.0397516000
1444,0.0381803000
1445,0.0398413000
1446,0.0374639000
1447,0.0376498000
1448,0.0377472000
1449,0.0375684000
1450,0.0376464000
1451,0.0375779000
1452,0.0378462000
1453,0.0376987000
1454,0.0374913000
1455,0.0376178000
1456,0.0377115000
1457,0.0377029000
1458,0.0378423000
1459,0.0378000000
1460,0.0378168000
1461,0.0386891000
1462,0.0394840000
1463,0.0398624000
1464,0.0388023000
1465,0.0380211000
1466,0.0381776000
1467,0.0381767000
1468,0.0397052000
1469,0.0387813000
1470,0.0401942000
1471,0.0385992000
1472,0.0384957000
1473,0.0385411000
1474,0.0400198000
1475,0.0418689000
1476,0.0411983000
1477,0.0386849000
1478,0.0388116000
1479,0.0392609000
1480,0.0395558000
1481,0.0396465000
1482,0.0423952000
1483,0.0406865000
1484,0.0399906000
1485,0.0398753000
1486,0.0403756000
1487,0.0412807000
1488,0.0404506000
1489,0.0402442000
1490,0.0398628000
1491,0.0400701000
1492,0.0404404000
1493,0.0421480000
1494,0.0471324000
1495,0.0409160000
1496,0.0402604000
1497,0.0424924000
1498,0.0408851000
